30.270369,-97.750401,90.0,23,3
30.269826,-97.749634,89.0,23,3
30.270114,-97.749545,97.0,23,3
30.270099,-97.749508,98.0,23,3
30.269735,-97.749355,100.0,23,3
30.269586,-97.74918,99.0,23,3
30.270031,-97.749322,96.0,23,3
30.269905,-97.748561,77.0,23,3
30.270096,-97.749272,84.0,23,3
30.269595,-97.747709,94.0,23,3
30.269234,-97.746429,100.0,23,3
30.26956,-97.747523,86.0,23,3
30.267807,-97.741203,84.0,23,3
30.267832,-97.74107,99.0,23,3
30.267248,-97.740862,81.0,23,3
30.267777,-97.740809,114.0,23,3
30.267205,-97.740642,97.0,23,3
30.267607,-97.740156,77.0,23,3
30.267589,-97.73993,95.0,23,3
30.267562,-97.739826,112.0,23,3
30.267078,-97.739962,87.0,23,3
30.267532,-97.739724,94.0,23,3
30.267037,-97.739819,81.0,23,3
30.267476,-97.739512,78.0,23,3
30.266897,-97.739589,108.0,23,3
30.267079,-97.740039,111.0,23,3
30.266819,-97.739273,114.0,23,3
30.266819,-97.739273,106.0,23,3
30.267339,-97.738999,75.0,23,3
30.266793,-97.739183,95.0,23,3
30.267327,-97.738935,86.0,23,3
30.266718,-97.738914,75.0,23,3
30.266674,-97.738767,104.0,23,3
30.266654,-97.7387,108.0,23,3
30.26663,-97.738611,95.0,23,3
30.267155,-97.738343,81.0,23,3
30.267155,-97.738343,83.0,23,3
30.267155,-97.738343,100.0,23,3
30.266509,-97.738192,88.0,23,3
30.266905,-97.738142,110.0,23,3
30.267355,-97.739423,76.0,23,3
30.266294,-97.735864,77.0,23,3
30.28664928,-97.74496062,79.6,20,4
30.28619167,-97.74469833,77.6,20,4
30.28628599,-97.74577274,79.4,20,4
30.28732342,-97.74591597,71.2,20,4
30.28798921,-97.74500175,62.8,21,4
30.29048932,-97.7446966,68.1,21,4
30.29053614,-97.74264845,72.4,21,4
30.29070188,-97.74201187,71.1,21,4
30.28996648,-97.74202065,92.4,21,4
30.2878733,-97.74285423,80.3,21,4
30.2878733,-97.74285423,81.9,21,4
30.2878936,-97.74307352,88.4,21,4
30.28197913,-97.74361865,72.8,21,4
30.2819382,-97.74322004,69.5,21,4
30.28160725,-97.7425624,72.5,21,4
30.28201346,-97.74234847,71.8,21,4
30.28227866,-97.74213057,71.6,21,4
30.28273085,-97.74218533,67.1,21,4
